,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,CEG,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2000-03-30,39.21875,14.65625,30.765625,30.015625,0.0,16.421875,19.007015705108643,19.0,29.15625,0.0,18.84375,25.41223430633545,45.012550354003906,16.5625,19.984375,16.25,21.0,13.301310300827026,20.46875,5.6738282442092896,6.489440321922302,0.0,21.203125,27.671875,9.62689208984375,14.8203125,17.390625,13.229803562164307,9.7890625,19.59375
2000-03-31,39.578125,14.9453125,30.78125,29.640625,0.0,16.359375,19.336312770843506,18.40625,29.15625,0.0,19.078125,25.01329803466797,45.40751647949219,16.578125,19.90625,15.765625,21.28125,13.217724561691284,20.515625,5.734375238418579,6.550835132598877,0.0,21.03125,27.9375,9.626892328262329,14.8046875,16.953125,13.229803323745728,9.90625,19.8125
2000-04-03,38.953125,14.9375,30.953125,29.828125,0.0,16.421875,19.44168758392334,18.078125,29.109375,0.0,19.234375,24.827127933502197,46.40174198150635,16.625,20.234375,15.21875,21.1875,13.223296880722046,20.828125,5.689453482627869,6.5446953773498535,0.0,21.171875,28.25,9.677828311920166,14.84375,16.671875,13.535253524780273,10.0,19.765625
2000-04-04,37.9609375,14.671875,31.546875,30.40625,0.0,16.0,19.850016117095947,18.140625,29.609375,0.0,19.59375,25.079787731170654,48.131422996520996,16.953125,20.546875,15.390625,21.015625,13.652371883392334,21.28125,5.705078482627869,6.495579719543457,0.0,21.6875,28.46875,9.76514720916748,14.9609375,16.78125,14.031609773635864,10.0859375,20.0625
2000-04-05,37.9375,14.8671875,32.328125,31.453125,0.0,15.734375,20.376891613006592,18.34375,30.015625,0.0,20.1171875,25.372340202331543,48.036086082458496,16.875,21.53125,15.15625,21.078125,14.42693543434143,21.796875,5.7949219942092896,6.593811511993408,0.0,21.828125,29.140625,9.867018938064575,15.171875,16.859375,14.22251582145691,10.2109375,20.609375
2000-04-06,37.90625,14.875,32.390625,31.0625,0.0,15.46875,19.691954135894775,18.390625,29.9375,0.0,19.7890625,25.252660274505615,46.578797340393066,17.015625,21.015625,15.15625,20.96875,14.298769474029541,21.9375,5.7558594942092896,6.69204306602478,0.0,21.5,29.234375,9.954337358474731,15.03125,17.09375,13.917066097259521,10.2109375,20.421875
2000-04-07,38.2421875,14.6484375,31.984375,30.53125,0.0,15.453125,19.46803092956543,18.28125,29.734375,0.0,19.46875,25.0,45.78886413574219,16.828125,20.40625,15.03125,20.953125,14.159459829330444,21.734375,5.777343988418579,6.587671875953674,0.0,21.09375,29.015625,9.845189332962036,14.828125,17.125,13.649797201156616,10.0390625,20.09375
2000-04-10,39.296875,14.6875,31.6875,30.84375,0.0,15.421875,19.533891201019287,18.34375,29.890625,0.0,19.7734375,25.292553424835205,46.26554775238037,16.84375,20.828125,15.03125,21.1875,14.48823094367981,21.765625,5.833984732627869,6.52627694606781,0.0,21.375,29.125,9.867018938064575,15.0625,17.3125,13.888429641723633,10.0859375,20.40625
2000-04-11,39.125,14.8359375,32.09375,31.40625,0.0,15.421875,20.482265949249268,18.625,30.3125,0.0,20.375,25.598403453826904,47.750075340270996,16.96875,21.5625,15.265625,21.265625,14.906160831451416,21.96875,5.8496094942092896,6.556974530220032,0.0,22.09375,29.59375,10.099869012832642,15.5078125,17.546875,14.356150150299072,10.2421875,20.546875
2000-04-12,38.578125,14.9609375,32.46875,32.453125,0.0,15.421875,21.285750389099125,18.796875,30.75,0.0,21.03125,25.505318641662598,48.7715425491333,17.171875,22.328125,15.703125,21.34375,15.106766939163208,22.78125,5.8925782442092896,6.685903549194336,0.0,23.265625,30.046875,10.230846405029297,15.9609375,18.03125,14.690236330032349,10.421875,20.640625
